id,image_path,camera_id
2,bounding_box_train/0002_c5s1_069073_02.jpg,5
7,bounding_box_train/0007_c2s3_070952_01.jpg,2
10,bounding_box_train/0010_c3s3_075919_02.jpg,3
11,bounding_box_train/0011_c6s4_002452_01.jpg,6
12,bounding_box_train/0012_c1s1_000701_01.jpg,1
20,bounding_box_train/0020_c4s1_001451_03.jpg,4
22,bounding_box_train/0022_c6s1_004051_01.jpg,6
22,bounding_box_train/0022_c6s1_003001_01.jpg,6
23,bounding_box_train/0023_c6s1_002451_01.jpg,6
27,bounding_box_train/0027_c3s1_002051_02.jpg,3
28,bounding_box_train/0028_c3s1_001976_01.jpg,3
32,bounding_box_train/0032_c1s1_002576_03.jpg,1
35,bounding_box_train/0035_c3s1_003251_01.jpg,3
37,bounding_box_train/0037_c1s1_003926_01.jpg,1
43,bounding_box_train/0043_c2s1_003626_02.jpg,2
46,bounding_box_train/0046_c4s1_004376_02.jpg,4
47,bounding_box_train/0047_c3s3_076569_04.jpg,3
48,bounding_box_train/0048_c3s1_004526_01.jpg,3
52,bounding_box_train/0052_c6s1_005826_01.jpg,6
56,bounding_box_train/0056_c5s1_007501_02.jpg,5
57,bounding_box_train/0057_c4s1_008901_01.jpg,4
64,bounding_box_train/0064_c2s1_008326_01.jpg,2
65,bounding_box_train/0065_c6s1_011101_02.jpg,6
67,bounding_box_train/0067_c6s1_018976_01.jpg,6
68,bounding_box_train/0068_c6s1_011876_02.jpg,6
69,bounding_box_train/0069_c2s3_057977_03.jpg,2
76,bounding_box_train/0076_c5s1_018976_01.jpg,5
77,bounding_box_train/0077_c4s1_010951_01.jpg,4
81,bounding_box_train/0081_c2s3_026607_05.jpg,2
82,bounding_box_train/0082_c3s3_076569_03.jpg,3
88,bounding_box_train/0088_c6s4_003177_01.jpg,6
93,bounding_box_train/0093_c3s1_014401_02.jpg,3
97,bounding_box_train/0097_c3s1_015926_02.jpg,3
100,bounding_box_train/0100_c5s2_149724_01.jpg,5
104,bounding_box_train/0104_c5s1_017951_02.jpg,5
105,bounding_box_train/0105_c5s1_037176_02.jpg,5
105,bounding_box_train/0105_c6s1_036651_02.jpg,6
106,bounding_box_train/0106_c3s1_017676_04.jpg,3
107,bounding_box_train/0107_c5s1_019551_02.jpg,5
108,bounding_box_train/0108_c2s1_017626_03.jpg,2
110,bounding_box_train/0110_c3s1_034476_01.jpg,3
111,bounding_box_train/0111_c4s4_051935_02.jpg,4
115,bounding_box_train/0115_c6s1_020926_01.jpg,6
116,bounding_box_train/0116_c5s1_102023_01.jpg,5
117,bounding_box_train/0117_c2s1_018926_01.jpg,2
118,bounding_box_train/0118_c3s3_070369_04.jpg,3
121,bounding_box_train/0121_c4s3_074710_02.jpg,4
123,bounding_box_train/0123_c4s1_030201_03.jpg,4
127,bounding_box_train/0127_c6s1_021376_02.jpg,6
132,bounding_box_train/0132_c1s1_031476_02.jpg,1
135,bounding_box_train/0135_c5s1_023301_04.jpg,5
136,bounding_box_train/0136_c5s1_023076_01.jpg,5
139,bounding_box_train/0139_c6s1_075476_02.jpg,6
139,bounding_box_train/0139_c6s1_069251_01.jpg,6
142,bounding_box_train/0142_c1s5_012511_03.jpg,1
148,bounding_box_train/0148_c3s2_023887_06.jpg,3
149,bounding_box_train/0149_c5s3_078512_02.jpg,5
150,bounding_box_train/0150_c1s1_024426_03.jpg,1
158,bounding_box_train/0158_c5s1_038001_07.jpg,5
159,bounding_box_train/0159_c5s1_028101_01.jpg,5
160,bounding_box_train/0160_c3s1_027501_01.jpg,3
162,bounding_box_train/0162_c4s6_050116_05.jpg,4
166,bounding_box_train/0166_c5s1_030101_02.jpg,5
167,bounding_box_train/0167_c4s5_012554_03.jpg,4
172,bounding_box_train/0172_c6s3_088292_03.jpg,6
173,bounding_box_train/0173_c2s3_058052_04.jpg,2
175,bounding_box_train/0175_c4s5_016004_04.jpg,4
176,bounding_box_train/0176_c3s1_032401_01.jpg,3
177,bounding_box_train/0177_c3s1_041526_02.jpg,3
178,bounding_box_train/0178_c3s1_036501_01.jpg,3
179,bounding_box_train/0179_c1s6_029396_02.jpg,1
180,bounding_box_train/0180_c6s4_004652_04.jpg,6
181,bounding_box_train/0181_c5s1_033551_02.jpg,5
184,bounding_box_train/0184_c4s5_011779_01.jpg,4
185,bounding_box_train/0185_c2s1_034026_01.jpg,2
193,bounding_box_train/0193_c6s1_059876_02.jpg,6
195,bounding_box_train/0195_c2s1_037601_01.jpg,2
197,bounding_box_train/0197_c5s1_039451_01.jpg,5
201,bounding_box_train/0201_c2s1_039501_01.jpg,2
202,bounding_box_train/0202_c3s2_149344_04.jpg,3
204,bounding_box_train/0204_c4s1_041401_03.jpg,4
206,bounding_box_train/0206_c6s1_041826_05.jpg,6
208,bounding_box_train/0208_c5s2_097727_02.jpg,5
208,bounding_box_train/0208_c6s1_070651_02.jpg,6
209,bounding_box_train/0209_c5s1_043076_01.jpg,5
211,bounding_box_train/0211_c3s1_042926_02.jpg,3
216,bounding_box_train/0216_c5s1_045326_12.jpg,5
221,bounding_box_train/0221_c2s1_045626_01.jpg,2
222,bounding_box_train/0222_c1s1_046801_01.jpg,1
223,bounding_box_train/0223_c1s1_046476_02.jpg,1
224,bounding_box_train/0224_c5s1_046951_02.jpg,5
225,bounding_box_train/0225_c1s1_055181_05.jpg,1
232,bounding_box_train/0232_c6s1_070926_04.jpg,6
234,bounding_box_train/0234_c3s3_079519_02.jpg,3
236,bounding_box_train/0236_c3s1_049026_01.jpg,3
237,bounding_box_train/0237_c5s1_049801_01.jpg,5
239,bounding_box_train/0239_c5s1_068548_03.jpg,5
241,bounding_box_train/0241_c3s1_059342_02.jpg,3
242,bounding_box_train/0242_c6s1_059151_03.jpg,6
243,bounding_box_train/0243_c2s1_066171_01.jpg,2
245,bounding_box_train/0245_c3s3_079594_03.jpg,3
248,bounding_box_train/0248_c2s1_051176_01.jpg,2
250,bounding_box_train/0250_c3s3_079669_01.jpg,3
251,bounding_box_train/0251_c3s1_063592_02.jpg,3
254,bounding_box_train/0254_c1s4_032956_02.jpg,1
255,bounding_box_train/0255_c1s1_060281_01.jpg,1
259,bounding_box_train/0259_c1s1_054851_01.jpg,1
261,bounding_box_train/0261_c6s1_055476_01.jpg,6
264,bounding_box_train/0264_c1s1_055981_01.jpg,1
266,bounding_box_train/0266_c6s1_065401_01.jpg,6
268,bounding_box_train/0268_c4s1_057132_04.jpg,4
269,bounding_box_train/0269_c3s1_057767_02.jpg,3
272,bounding_box_train/0272_c6s1_056376_02.jpg,6
272,bounding_box_train/0272_c5s1_066273_01.jpg,5
273,bounding_box_train/0273_c3s1_059942_02.jpg,3
276,bounding_box_train/0276_c3s3_066419_03.jpg,3
277,bounding_box_train/0277_c3s1_060792_08.jpg,3
279,bounding_box_train/0279_c1s2_014666_01.jpg,1
281,bounding_box_train/0281_c3s1_062892_02.jpg,3
282,bounding_box_train/0282_c6s1_062126_01.jpg,6
287,bounding_box_train/0287_c4s1_062057_01.jpg,4
